RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical
1210,1924 N Damen Ave,32,22,Logan Square,1,41.916744,-87.677776,0
410,1924 W North Ave,32,24,West Town,2,41.910631,-87.675968,0
57,1925 N Milwaukee Ave,1,22,Logan Square,1,41.91663,-87.686841,0
224,1927 W North Ave,1,24,West Town,2,41.910364,-87.676022,0
295,1927 W North Ave,1,24,West Town,2,41.910364,-87.676022,0
395,1934 W North Ave,32,24,West Town,2,41.910596,-87.67645,0
1211,1935 N Damen Ave,32,22,Logan Square,1,41.91691,-87.677501,0
484,1941 W North Ave,1,24,West Town,2,41.910341,-87.676574,0
483,1943 W North Ave,1,24,West Town,2,41.910339,-87.676622,0
894,1944 N Damen Ave,32,22,Logan Square,1,41.91716,-87.677775,0
4282,1949 N Hoyne Ave,32,22,Logan Square,3,41.917221,-87.679895,1
6206,1949 N Hoyne Ave,32,22,Logan Square,1,41.917221,-87.679895,1
5417,1951 N Western Ave,1,22,Logan Square,2,41.917003,-87.687309,1
411,1952 W North Ave,32,24,West Town,2,41.910521,-87.676877,0
2452,1953 N Clybourn Ave,32,7,Lincoln Park,1,41.916846,-87.657664,1
2453,1953 N Clybourn Ave,32,7,Lincoln Park,1,41.916846,-87.657664,1
6316,1960 N Damen Ave,32,22,Logan Square,1,41.917312,-87.677784,1
1233,1999 W North Ave,1,24,West Town,1,41.910405,-87.677443,0
3565,2000 W North Ave,32,24,West Town,3,41.910507,-87.677593,1
4866,2000 W North Ave,32,24,West Town,2,41.910507,-87.677593,1
5509,2000 W North Ave,32,24,West Town,1,41.910507,-87.677593,1
5817,2000 W North Ave,32,24,West Town,1,41.910507,-87.677593,1
4873,2009 W Schiller St,1,24,West Town,2,41.906993,-87.677773,1
6576,2009 W Schiller St,1,24,West Town,1,41.906993,-87.677773,0
5240,2020 W Schiller St,1,24,West Town,3,41.907256,-87.678023,1
5356,2020 W Schiller St,1,24,West Town,2,41.907256,-87.678023,1
5358,2025 W North Ave,1,24,West Town,2,41.910343,-87.678038,1
789,2030 W North Ave,32,24,West Town,1,41.910573,-87.678391,0
492,2057 W North Ave,1,24,West Town,2,41.910301,-87.678888,0
412,2100 W North Ave,32,24,West Town,2,41.910559,-87.680222,0
491,2157 W North Ave,32,24,West Town,2,41.910268,-87.681283,0
579,2204 W North Ave,1,24,West Town,2,41.910507,-87.68264,0
6158,2216 W Hirsch St,1,24,West Town,2,41.906863,-87.682924,1
6518,2222 W North Ave,1,24,West Town,1,41.910493,-87.683225,0
6519,2225 W North Ave,1,24,West Town,1,41.910223,-87.683278,0
2485,2230 W Cortland St,32,22,Logan Square,1,41.916261,-87.683246,1
2486,2230 W Cortland St,32,22,Logan Square,1,41.916261,-87.683246,1
1006,2234 W North Ave,1,24,West Town,1,41.910463,-87.683762,0
762,2325 W North Ave,1,24,West Town,1,41.910198,-87.685715,0
582,2403 W Homer St,1,22,Logan Square,2,41.916469,-87.688317,0
490,2413 W North Ave,1,24,West Town,1,41.910233,-87.687713,0
485,2440 W North Ave,1,24,West Town,2,41.910432,-87.688726,0
4306,2440 W North Ave,1,24,West Town,1,41.910432,-87.688726,1
486,2516 W North Ave,1,24,West Town,2,41.910471,-87.69035,0
488,2525 W North Ave,26,24,West Town,1,41.910109,-87.690612,0
487,2546 W North Ave,1,24,West Town,2,41.910422,-87.69126,0
4315,2556 W North Ave,1,24,West Town,1,41.91042,-87.691399,1
1148,2658 W Evergreen Ave,26,24,West Town,1,41.905827,-87.693429,0
125,2815 W Armitage Ave,35,22,Logan Square,1,41.917355,-87.697744,0
